Hero,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,secondary
Warrior,,,,,,,50,,,,,,,,,12.5
Knight,,,,,,45,,,,,,,,,,11.25
Thief,,,,,,,,,,,70,,,,,17.5
Archer,,,,,,,50,,,,,,,,,12.5
Priest,,,,,40,,,,,,,,,,,10
Wizard,,,,,40,,,,,,,,,,,10
Monk,,,,,,,,,60,,,,,,,15
Pirate,,,,,,,50,,,,,,,,,12.5
Berserker,,,,,,,,55,,,,,,,,13.75
Seer,,,,,,,,55,,,,,,,,13.75
Paladin *,,,,35,,,,,,,,,,,,8.75
Dark Knight *,,,,35,,,,,,,,,,,,8.75
Summoner *,,,,,,,50,,,,,,,,,12.5
Ninja *,,,,,,,,,,,,,,85,,21.25
Shapeshifter *,,,,,,,,,,,,,80,,,21.25
Dragoon **,,,,,,,,,,65,,,,,,16.25
Sage **,,,,,,,,,,,,75,,,,18.75
Dread Knight ***,,,,,,,,,60,,,,,,,15
