Hero,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,secondary
Warrior,,,,,,,,,,,70,,,,,17.5
Knight,,,,,,,,55,,,,,,,,13.75
Thief,,,,,,,,55,,,,,,,,13.75
Archer,,,,,,,,,,,,,80,,,20
Priest,,,30,,,,,,,,,,,,,7.5
Wizard,,,30,,,,,,,,,,,,,7.5
Monk,,,,,,,,,60,,,,,,,15
Pirate,,,,,,,,,,,70,,,,,17.5
Berserker,,,,,,,,,60,,,,,,,15
Seer,,,30,,,,,,,,,,,,,7.5
Paladin *,,,,,40,,,,,,,,,,,10
Dark Knight *,,,,,,,,55,,,,,,,,13.75
Summoner *,,,,,,45,,,,,,,,,,11.25
Ninja *,,,,,,,,,,,,75,,,,18.75
Shapeshifter *,,,,,,,,,,,70,,,,,17.5
Dragoon **,,,,,,,,,,65,,,,,,16.25
Sage **,,,,,40,,,,,,,,,,,10
Dread Knight ***,,,,,,,,,,,,75,,,,18.75
