Hero,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,secondary
Warrior,,,,,,,,,,65,,,,,,16.25
Knight,,,,,,,,,,,,75,,,,18.75
Thief,,,,,,45,,,,,,,,,,11.25
Archer,,,,,,,,,60,,,,,,,15
Priest,,,,,,,,,60,,,,,,,15
Wizard,,,,,,,50,,,,,,,,,12.5
Monk,,,,,,,,55,,,,,,,,13.75
Pirate,,,,,,,,55,,,,,,,,13.75
Berserker,,,,,,,,,60,,,,,,,15
Seer,,,,,,,50,,,,,,,,,12.5
Paladin *,,,,,,,,,,,,,80,,,20
Dark Knight *,,,,,,,,,60,,,,,,,15
Summoner *,,,,,,,50,,,,,,,,,12.5
Ninja *,,,,,40,,,,,,,,,,,10
Shapeshifter *,,,,,,,,55,,,,,,,,13.75
Dragoon **,,,,,,,,,,,70,,,,,17.5
Sage **,,,,,,,50,,,,,,,,,12.5
Dread Knight ***,,,,,,,,,,,,75,,,,18.75
