Hero,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,secondary
Warrior,20,,,,,,,,,,,,,,,5
Knight,20,,,,,,,,,,,,,,,5
Thief,,25,,,,,,,,,,,,,,6.25
Archer,,,,,40,,,,,,,,,,,10
Priest,,,,,,,,,,,70,,,,,17.5
Wizard,,,,,,,,,,,,,80,,,20
Monk,,25,,,,,,,,,,,,,,6.25
Pirate,20,,,,,,,,,,,,,,,5
Berserker,20,,,,,,,,,,,,,,,5
Seer,,,,,,,,,,,70,,,,,17.5
Paladin *,,,30,,,,,,,,,,,,,7.5
Dark Knight *,,,,,,,,,,,70,,,,,17.5
Summoner *,,,,,,,,,,,,,,85,,21.25
Ninja *,,,,,,,50,,,,,,,,,12.5
Shapeshifter *,,25,,,,,,,,,,,,,,6.25
Dragoon **,,,,,,,50,,,,,,,,,12.5
Sage **,,,,,,,,,,,,,,,90,22.5
Dread Knight ***,,,,,,,,,,65,,,,,,16.25
