Hero,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,secondary
Warrior,,,,,,,,,,,,75,,,,18.75
Knight,,,,,,,,,,,70,,,,,17.5
Thief,,,,,,,,55,,,,,,,,13.75
Archer,,,,,,,,55,,,,,,,,13.75
Priest,,,30,,,,,,,,,,,,,7.5
Wizard,,,30,,,,,,,,,,,,,7.5
Monk,,,,,,,,,60,,,,,,,15
Pirate,,,,,,,,,,,70,,,,,17.5
Berserker,,,,,,,,,,,,,80,,,20
Seer,,,30,,,,,,,,,,,,,7.5
Paladin *,,,,,,,,,,,,,80,,,20
Dark Knight *,,,,,,,,,,,,,,85,,21.25
Summoner *,,,,,,45,,,,,,,,,,11.25
Ninja *,,,,,,,50,,,,,,,,,12.5
Shapeshifter *,,,,,,,,,,65,,,,,,16.25
Dragoon **,,,,,,,,,,,,,80,,,20
Sage **,,,,,40,,,,,,,,,,,10
Dread Knight ***,,,,,,,,,,,,,,85,,21.25
