Hero,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,secondary
Warrior,,,,,,,,,,65,,,,,,16.25
Knight,,,,,,,,,,,,75,,,,18.75
Thief,,,,,,,50,,,,,,,,,12.5
Archer,,,,,,,50,,,,,,,,,12.5
Priest,,,,,,,50,,,,,,,,,12.5
Wizard,,,,,,,50,,,,,,,,,12.5
Monk,,,,,,,,,60,,,,,,,15
Pirate,,,,,,,,,60,,,,,,,15
Berserker,,,,,,,,,,65,,,,,,16.25
Seer,,,,,,,50,,,,,,,,,12.5
Paladin *,,,,,,,,,,,,,80,,,20
Dark Knight *,,,,,,,,,,,,75,,,,18.75
Summoner *,,,,,,,50,,,,,,,,,12.5
Ninja *,,,,,,,50,,,,,,,,,12.5
Shapeshifter *,,,,,,,,55,,,,,,,,13.75
Dragoon **,,,,,,,,,60,,,,,,,15
Sage **,,,,,,,,,60,,,,,,,15
Dread Knight ***,,,,,,,,,,65,,,,,,16.25
