Hero,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,secondary
Warrior,20,,,,,,,,,,,,,,,5
Knight,,25,,,,,,,,,,,,,,6.25
Thief,,,,35,,,,,,,,,,,,8.75
Archer,,25,,,,,,,,,,,,,,6.25
Priest,,,,,,,,,,,,,80,,,20
Wizard,,,,,,,,,,,,,80,,,20
Monk,,,,,,,50,,,,,,,,,12.5
Pirate,20,,,,,,,,,,,,,,,5
Berserker,20,,,,,,,,,,,,,,,5
Seer,,,,,,,,,,,,,80,,,20
Paladin *,,,,,,,,,,65,,,,,,16.25
Dark Knight *,,,,35,,,,,,,,,,,,8.75
Summoner *,,,,,,,,,,,,,,85,,21.25
Ninja *,,,,,40,,,,,,,,,,,10
Shapeshifter *,,,,,,45,,,,,,,,,,11.25
Dragoon **,,,,,,,,,60,,,,,,,15
Sage **,,,,,,,,,,,,,,,90,22.5
Dread Knight ***,,,,,,,,,,65,,,,,,16.25
